"AI_CD","PROC_CD","SER","LOC","ITM","TAG_SN","DP","TAG_TY"
"D","D","0","0","d_fc_on1_1_1","771-358-FCB-2112","금산광역(정) 응집기 1지#1 RUN (F_CV)","0"
"D","D","0","0","d_fc_on1_2_1","771-358-FCB-2114","금산광역(정) 응집기 1지#2 RUN (F_CV)","0"
"D","D","0","0","d_fc_on2_1_1","771-358-FCB-2122","금산광역(정) 응집기 2지#1 RUN (F_CV)","0"
"D","D","0","0","d_fc_on2_2_1","771-358-FCB-2124","금산광역(정) 응집기 2지#2 RUN (F_CV)","0"
"D","D","0","0","d_fc_sp1_1_1","771-358-XXI-2112","금산광역(정) 응집기 1지#1 rpm값 (F_CV)","0"
"D","D","0","0","d_fc_sp1_2_1","771-358-XXI-2114","금산광역(정) 응집기 1지#2 rpm값 (F_CV)","0"
"D","D","0","0","d_fc_sp2_1_1","771-358-XXI-2122","금산광역(정) 응집기 2지#1 rpm값 (F_CV)","0"
"D","D","0","0","d_fc_sp2_2_1","771-358-XXI-2124","금산광역(정) 응집기 2지#2 rpm값 (F_CV)","0"
"D","D","0","0","d_g_step1_crt","771-358-SWI-3905","1지 보정값","3"
"D","D","0","0","d_g_step1_max","771-358-SWI-3908","1지 상한","3"
"D","D","0","0","d_g_step1_min","771-358-SWI-3907","1지 하한","3"
"D","D","0","0","d_g_step2_crt","771-358-SWI-3906","2지 보정값","3"
"D","D","0","0","d_g_step2_max","771-358-SWI-3910","2지 상한","3"
"D","D","0","0","d_g_step2_min","771-358-SWI-3909","2지 하한","3"
"D","D","0","0","d_g_value_ctr_flag","771-358-SWI-3904","G값 제어 여부","3"
"D","D","0","0","d_g_value_loc1","771-358-SWI-3902","1지 G값","3"
"D","D","0","0","d_g_value_loc2","771-358-SWI-3903","2지 G값","3"
"UI","D","0","0","d_im_d","771-358-SWI-3005","임펠러 직경","2"
"D","D","0","0","d_operation_mode","771-358-SWI-3901","혼화응집 운전모드","3"
"UI","D","0","0","d_operation_mode_a","771-358-SWI-3002","혼화응집 AI 모드 경보","2"
"UI","D","0","0","d_pw","771-358-SWI-3006","Power Number","2"
"D","D","0","0","d_tb_e","771-358-TBI-6002","금산(정) 막여과 유입수 탁도","0"
"UI","D","0","0","d_v","771-358-SWI-3007","조 체적","2"
"C","C","0","0","e1_tb_b","771-358-TBI-6002","금산(정) 막여과 유입수 탁도","0"
"D","D","0","0","FCC-2111","771-358-FCC-2111","금산광역(정) 응집기 1지 G값 설정 (F_CV)","0"
"D","D","0","0","FCC-2111","771-358-FCC-2111","금산광역(정) 응집기 1지 G값 설정 (F_CV)","4"
"D","D","0","0","FCC-2112","771-358-FCC-2112","금산광역(정) 응집기 1지 적용율 (F_CV)","0"
"D","D","0","0","FCC-2121","771-358-FCC-2121","금산광역(정) 응집기 2지 G값 설정 (F_CV)","0"
"D","D","0","0","FCC-2121","771-358-FCC-2121","금산광역(정) 응집기 2지 G값 설정 (F_CV)","4"
"D","D","0","0","FCC-2122","771-358-FCC-2122","금산광역(정) 응집기 2지 적용율 (F_CV)","0"
